"id","price"
184862,550000
184863,850000
184865,1880000
184868,1200000
184869,299000
184870,650000
184871,315000
184873,1550000
184874,1500000
184876,340000
184877,550000
184879,550000
184880,626750
184881,733000
184882,310000
184883,1300000
184884,379428
184885,230000
184886,265000
184887,1300000
184888,1800000
184890,450000
184891,280000
184892,834800
184893,11660000
184894,930000
184895,720000
184896,1340000
184897,275000
184898,1080000
184899,875000
184900,1300000
184901,380000
184902,890000
184906,417000
184907,553000
184908,650000
184909,518000
184910,1290000
184911,240000
184912,630000
184913,160000
184914,800000
184915,327172
184916,1600000
184918,255000
184919,930000
184921,2400000
184922,810000
184924,380000
184925,529999
184926,267000
184927,550000
184928,265000
184929,1300000
184930,710000
184931,790000
184932,840000
184934,286000
184935,274411
184936,390000
184937,466400
184939,180000
184940,250000
184941,180000
184943,410000
184944,100000
184945,700000
184948,850000
184949,950000
184950,1040000
184951,910000
184952,179999
184954,3000000
184955,1600000
184956,3100000
184961,695000
184962,617000
184963,1225000
184964,4000000
184965,1300000
184966,1100000
184967,385000
184970,674000
184971,430000
184972,1990000
184974,275000
184975,430000
184976,1600000
184977,750000
184979,199000
184980,480000
184982,600000
184983,490000
184984,300000
184985,770000
184986,470000
184988,402000
184991,495000
184992,400000
184993,399000
184994,170000
184995,636000
184996,1250000
185000,5000000
185002,850000
185003,890000
185004,1800000
185005,1200000
185008,1500000
185009,480000
185010,190000
185012,480000
185014,1128000
185015,440000
185016,1800000
185017,385000
185019,265000
185022,2250000
185023,181000
185024,450000
185025,1650000
185026,16500000
185027,1400000
185028,580000
185029,550000
185034,1090000
185035,295000
185036,980000
185038,220000
185039,650000
185040,165000
185042,170000
185043,650000
185045,352000
185046,825000
185047,3800000
185048,225000
185049,930000
185050,1750000
185051,640000
185052,245000
185053,658500
185054,320000
185055,1210000
185056,234000
185057,1400000
185058,583000
185059,900000
185060,5500000
185061,600000
185062,450000
185063,170000
185064,500000
185066,2500000
185067,265000
185070,450000
185071,766000
185072,750000
185073,568000
185074,790000
185075,295000
185076,235000
185077,370000
185079,1290000
185080,1200000
185081,380000
185083,520000
185085,320000
185086,340000
185090,1161700
185093,135000
185094,290000
185095,610000
185099,450000
185100,265000
185101,115000
185104,165000
185105,9990000
185106,175000
185107,530000
185111,590000
185112,552100
185113,5800000
185115,290000
185116,974000
185117,300000
185118,749000
185119,420000
185120,1550000
185121,890000
185122,820000
185124,16000000
185125,1500000
185126,215500
185128,149000
185129,295000
185130,178900
185131,215000
185132,720000
185136,285000
185138,1600000
185140,345000
185141,385000
185142,341000
185143,980000
185145,317500
185146,2500000
185147,490000
185150,615000
185152,400000
185153,215000
185154,264400
185155,215000
185156,515000
185157,714197
185159,1500000
185160,425000
185161,541000
185162,1150000
185163,750000
185164,225000
185166,222000
185167,205000
185170,450000
185172,420000
185174,259999
185178,450000
185179,299000
185180,1300000
185181,390000
185184,1400000
185185,4000000
185186,249000
185187,450000
185188,540000
185189,790000
185194,700000
185195,920000
185196,450000
185197,800000
185198,1389000
185199,1825865
185200,850000
185201,450000
185202,470000
185203,900000
185204,465000
185205,1920000
185207,415000
185209,250000
185210,4950000
185211,330000
185212,530000
185213,270000
185215,595000
185216,1400000
185218,160000
185219,795000
185221,220000
185224,1200000
185225,750000
185226,1800000
185227,590000
185229,585000
185230,430000
185231,325000
185232,220000
185233,320000
185234,550000
185235,350000
185239,255000
185246,380000
185247,290000
185249,295000
185252,419980
185253,320000
185254,220000
185255,139983
185256,660000
185257,3000000
185258,120000
185259,200000
185260,545000
185261,230000
185263,1070000
185264,355000
185265,480000
185267,730000
185268,80000
185269,750000
185270,800000
185272,210000
185273,540000
185274,620000
185275,480000
185276,430000
185277,642000
185279,243800
185280,450000
185281,400000
185283,285000
185284,245000
185285,386400
185286,290000
185287,220000
185288,4600000
185290,199900
185291,510000
185292,905000
185293,365900
185294,850000
185297,230000
185298,230000
185299,290000
185300,300000
185301,320000
185302,210000
185304,330000
185305,212000
185306,375000
185309,425000
185310,698000
185311,465000
185312,1498500
185313,245000
185314,1000000
185315,435000
185317,745000
185318,440000
185319,475000
185320,436000
185321,2085114
185322,190000
185323,1200000
185327,425000
185328,449876
185329,780000
185330,1700000
185331,154990
185333,339000
185336,365000
185337,390000
185338,230000
185339,160000
185340,460000
185341,391092
185342,330000
185343,395000
185344,859000
185346,2300000
185347,1190000
185348,315000
185349,310000
185350,600000
185353,710000
185354,372000
185355,630000
185356,815000
185358,150000
185360,320000
185361,340000
185362,135000
185363,340000
185364,179000
185365,790000
185366,245000
185368,430000
185369,630000
185372,2700000
185373,650000
185374,326500
185376,450000
185378,150000
185379,250000
185380,700000
185382,240000
185385,470000
185386,390000
185387,390000
185388,600000
185389,460000
185390,210000
185391,410000
185392,280000
185393,270000
185394,1065000
185395,340000
185396,270000
185397,179000
185398,450000
185400,410000
185401,375000
185402,145000
185404,590000
185405,420000
185407,300000
185408,920000
185409,1400000
185410,1600000
185411,160000
185412,640000
185416,950000
185417,1360000
185418,430000
185419,640000
185421,765000
185422,610000
185423,1500000
185424,560000
185425,1980000
185426,580000
185429,880000
185431,407000
185432,1800000
185433,1195000
185434,310000
185435,360000
185437,530000
185439,200000
185440,680000
185441,1100000
185442,270000
185443,290000
185444,1000000
185445,1500000
185446,5300000
185447,954000
185448,1200000
185449,1350000
185450,320000
185451,200000
185452,519000
185453,180000
185454,345000
185461,480000
185464,533000
185466,173000
185467,640000
185468,1290000
185470,900000
185473,1250000
185474,1480000
185478,240000
185479,320000
185480,150000
185481,199999
185483,530000
